Rank,ASIN,Image URL,Title,Best Seller Ranks,Currency,Price,Review Rating,Review Count,In-Stock,Purchase Limits,Feature Points,Brand,Seller,Store,Offers,Product Dimensions,Product Weight,Shipping Weight,Published At,FBA,Prime,Sponsored
1,B082PYGCZH,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/612yLOsQvuL._AC_UL320_.jpg,"ledscom.de Deckenleuchte/Decken-Fassung INEL, weiß, 1x GX53 max. 25W, 10 Stk.","Beleuchtung: 20321
LED Lampen: 3391",EUR,56.0,4.4,105.0,3.0,0.0,"Robustes Aluminium-Gehäuse, weiß lackiert

Direkter Anschluss an 230V

Durchmesser: 90 mm Höhe: 21 mm

Individuelle Lichtgestaltung durch austauschbares Leuchtmittel (enthält kein Leuchtmittel)

Diese GX53 Lampenfassung in Weiß fügt sich harmonisch in die Decke ein und kann in Wohnräumen oder am Arbeitsplatz sowohl als Allgemeinbeleuchtung oder zum gezielten Setzen von Lichteffekten eingesetzt werden. Diese Aufbau-Fassung ist mit GX53-Leuchtmitteln (standardisierter 74 mm Durchmesser) kompatibel. Wegen der flachen Bauform des Leuchtmittels hat diese Lampen-Fassung eine besonders flache Aufbauhöhe.

In unserem Shop finden Sie passende GX53-Leuchtmittel, welche diese Aufbauringe optimal ergänzen.",ledscom.de,LEDs Com GmbH,Besuche den ledscom.de,,9 x 9 x 2.1 cm,100 g,,2019-12-13,0.0,1.0,True
2,B0BWN5R3ML,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/518d5iD+i5L._AC_UL320_.jpg,Hellolamp Deckenleuchte Stofflampenschirm|Eckig|Länge:50cm Breite:50cm Höhe:16cm|4xE27|Chintz Stoff Weiß|Deckenlampe Wohnzimmer Schlafzimmer,"Beleuchtung: 58040
Deckenleuchten: 3830",EUR,89.99,0.0,,,,"DECKENLEUCHTE: Unsere minimalistische Stoffdeckenleuchte ist für jeden Raum im Haus geeignet. Egal, ob Wohnzimmer, Schlafzimmer, Büro, Küche, Esszimmer oder Flur.

DER STOFF: Der Chintz Stoff ist auf der einen Seite sehr dünn und fein und sorgt für eine sehr schöne Lichtdurchlässigkeit - andererseits wird das Licht sehr gut gestreut und verteilt.

LICHT: Die Deckenlampe ist in den Größen 30x30cm und 40x40cm mit einer einfachen E27-Fassung ausgestattet. Die Leuchtengröße 50x50cm besitzt einen 4-fach-Stern mit drei E27-Fassungen und sorgt für besonders starkes Licht.

HERSTELLUNG: Unsere Lampenschirme, Pendelleuchten und Deckenleuchten stellen wir in unserer Manufaktur in Arnsberg/Westfalen handgefertigt her.

SCHIRMBODEN: Ein abnehmbarer Schirmboden in der Farbe Weiß wird zu jedem Schirm mitgeliefert.

STOFFMUSTER: Mit dem richtigen Stoff und der passenden Farbe kann man nichts mehr falsch machen. Kontaktieren Sie uns und wir senden Ihnen Stoffmuster. Für eine reibungslose Bestellung!",Hellolamp,Hellolamp,Besuche den Hellolamp,,50 x 50 x 16 cm,,,2023-02-23,0.0,0.0,True
3,B0BRPY39TL,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61xwr6jOUTL._AC_UL320_.jpg,"Ketom Deckenstrahler LED Weiß, LED Deckenstrahler 4 Flammig Rund, Strahler Deckenleuchte Modern, GU10 Deckenleuchte Spot Schwenkbar, Deckenlampe 4 Flammig für Küche, Wohnzimmer, Ohne Leuchtmittel","Beleuchtung: 691
Deckenspots: 12",EUR,41.99,4.4,138.0,,,"【Verstellbarer】Deckenstrahler led 4 flammig lichtkopf kann um 350° nach links und rechts gedreht und um 90° nach oben und unten gekippt werden, jedes Teil kann in jede Richtung eingestellt werden.

【GU10 Fassung】Die spotleuchten & spotbalken mit 4 GU10 Fassungen ausgestattet. Je nach raum können verschiedene arten von GU10-Lampen ausgewählt werden. (Hinweis: Wir enthalten keine Glühbirnen).

【Design】4 flammige deckenleuchte das verwendete metallmaterial ist eisen, das stark und nicht leicht zu beschädigen ist. Damit die Farbe der Oberfläche länger erhalten bleibt, haben wir das Innere der Wandleuchte galvanisiert.

【Weite Anwendungen】Die weiße Optik der macht sie sehr vielseitig und stilvoll, dass sie nicht nur an der Decke, sondern auch an der Wand installiert werden kann. Deckenlampe spot weiß kann als küchenlampen, schlafzimmerlampen, wohnzimmerlampe, etc.

【Einfache Installation】Deckenstrahler weiß mit runder basis, um die Anzahl der Installationsschritte zu reduzieren, haben wir die lampe strahler Basis der Leuchte vereinfacht, die in nur 3 Schritten installiert werden kann.",Ketom,Ketom,Besuche den Ketom,,24 x 24 x 9.5 cm,880 g,,2023-01-05,0.0,1.0,True
4,B09M454ZGN,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51AROF+25ML._AC_UL320_.jpg,Light-Home Milan Lampenschirm Hängelampe Hängeleuchte - Deckenlampe Industrial für Wohnzimmer Schlafzimmer und Esszimmer - Pendelleuchte aus Metall mit Lampenschirm aus Velours - Schwarz und grau,"Beleuchtung: 593
Hängeleuchten & Pendelleuchten: 9",EUR,84.99,4.4,278.0,,,"💡 Wir haben Klassik und Moderne kombiniert! - Das moderne und zeitlose Design unserer Hängelampe passt perfekt in moderne, klassische und industrielle Innenräume und ist eine perfekte Dekoration für Ihren Raum. Die mit viel Liebe zum Detail gestaltete Lampe ist nicht nur eine funktionelle Leuchte, sondern auch eine elegante Bereicherung für den Raum

💡 Angenehme Beleuchtung - Die Lampe passt in alle gängigen E27-Glühbirnen (LED/Energiesparlampen) bis zu 60W (nicht im Lieferumfang enthalten). Sie ist universell einsetzbar, egal ob Sie eine neue Lampe für Ihr Wohnzimmer, Ihr Esszimmer oder Ihre Küche suchen

💡 Modisch und modern - Unsere Milan-Pendelleuchte hat eine bruchsichere Konstruktion aus robustem Metall. Die farbenfrohen Stofflampenschirme schaffen ein elegantes, klassisches Design, das Ihrem Interieur Wärme verleiht und Ihnen hilft, sich zu entspannen. Die moderne Hängelampe ist in vielen verschiedenen Farben erhältlich, die es Ihnen ermöglichen, Ihre eigene einzigartige Lampe zu kreieren

💡 Abmessungen und Verarbeitung - unsere Hängelampe hat eine maximale Wattleistung von 60W, E27 Sockel, 230V. Die Leuchte ist 100 cm hoch (verstellbar, um sie an Ihre Einrichtung anzupassen), 45 cm breit und der Diffusor ist 23 cm hoch und hat einen Durchmesser von 45 cm. Die Konstruktion ist aus haltbarem, schadensresistentem Metall gefertigt, so dass die Lampe Ihnen lange Zeit dienen wird

💡 Sehr einfach zu montieren! - Jede unserer Lampen hat eine solide Verpackung, damit sie sicher und ohne unangenehme Überraschungen bei Ihnen ankommt. Unsere einfache und übersichtliche Anleitung ist institutionell, so dass die Montage selbst einfach ist und nicht viel Zeit und Energie in Anspruch nehmen wird. Für die Montage benötigen Sie Dehnschrauben, die nicht im Lieferumfang enthalten sind",Light Home LH,Light-home,Besuche den Light Home LH,,23 x 45 x 100 cm,2.15 kg,,2021-12-08,0.0,0.0,True
5,B0BRZZVJPG,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61qT1wCKLwL._AC_UL320_.jpg,"Deckenlampe LED Deckenleuchte 3000K 2100LM- 22CM/8.9Inch Rund Wasserfest Badezimmer Lampe, 24W Badlampe Decke Küchenlampen Modern LED Lampen deckenlampen Ultra Dünn Für Flur/Schlafzimmer/Keller/Balkon","Beleuchtung: 717
Deckenleuchten: 55",EUR,15.99,5.0,2.0,,,"☀️3000K Warmes Weiß LED Deckenlampe☀️ Unsere LED deckenleuchten verwenden hochwertige LED-Lampenperlen und liefern 2100 Lumen von 3000K warmem weißem Licht, wodurch eine warme Atmosphäre für Sie geschaffen wird, perfekt für Ihr Schlafzimmer, Ihr Wohnzimmer und Kinder ' Zimmer.

🍀Energiesparung Deckenbeleuchtung🍀 Diese 24-W-Deckenleuchte ersetzt die herkömmliche 200W Glühlampe und spart mehr als 85% für die Stromkosten. Mit einer langen Lebensdauer von 30000 Stunden, was bedeutet, dass Sie Ihre monatliche Stromrechnung einsparen und die Neulampenfrequenz reduzieren.

🟡Ultra Slim Deckenleuchte LED🟡 Die Dicke von led deckenleuchte flach beträgt nur 0,94 Zoll/2,4 cm, was für Räume mit niedrigen Decken gut ist. Das elegante runde Design lässt dieled lampen stilvoller und moderner aussehen, was nahtlos zu jedem inneren Stil passt. Die Größe des led panel deckenleuchte beträgt 22*2,4 cm. Sie können das badlampe decke in einem Raum von 8-15㎡ Räumen reparieren.

☔Wasserfestes Lampe Decke☔ Integriertes Dichtungsdesign, IP44-zertifiziert sorgt für Wasserspritz- und Staubdicht und kann nach dem langfristigen Gebrauch als neu gehalten werden. Es ist die beste Wahl als Bürolicht, Korridorlicht, Schlafzimmerlicht, Badezimmer Licht, Küchenlicht.

🔧Praktische Installation Lampe Badezimmer🔧 Deckenlampe badezimmer benötigen nur 2 Schritte, um die Installation zu vervollständigen. (1) Installieren Sie die leichte Basis unter der Decke. (2) Schrauben Sie dann das deckenleuchte auf die Basis. Bevor Sie beginnen, stellen Sie bitte sicher, dass Sie die Leistung ausschalten.

🎁💞Hochwertige After-Sales-Garantie💞 Hoher Leistung und aufmerksamer Kundendienst. Wir versprechen eine 60-tägige Rückerstattung und einen 1-Jahres-Garantie-Ersatzdienst. Wenn es mit diesem deckenleuchten ein Problem gibt, zögern Sie nicht, uns mit uns zu kontaktieren, wir sind immer für Sie da.",zemty,XinPuMiQin,Besuche den zemty,,22 x 2.4 x 22 cm,470 g,,2023-02-23,0.0,0.0,False
6,B09YR5KHSQ,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61NquOGBCTL._AC_UL320_.jpg,"Aisutha LED Deckenleuchte, 24W 2800LM Deckenlampe LED Deckenleuchte Flach Dimmbar mit Fernbedienung, 3000K-6500K, IP54 Ultra Dünn Schlafzimmer Lampe für Wohnzimmer Kinderzimmer Küche Badezimmer","Beleuchtung: 429
Deckenleuchten: 26",EUR,26.99,4.6,139.0,,,"💡【Brandneues Verbessertes Design】Diese Deckenleuchte unterstützt die stufenlose Einstellung, durchbrechen Sie den traditionellen festen Anpassungsmodus. Drücken Sie lange auf die Taste der Fernbedienung, Sie können die Farbtemperatur (3000K-6500K, Warmweiß/Neutralweiß/Kaltweiß) und die Helligkeit (10%-100%) stufenlos einstellen. Finden Sie ganz einfach die angenehmste Lichtatmosphäre. HINWEIS: Sie können mit dem Wandschalter auch die Farbtemperatur(3000K, 4000K und 6500K drei Modi) ändern.

💡【Ultradünn & Ultrahell】28mm schlankes Design, passt perfekt zur Decke, verabschieden Sie sich von dem bedrückenden Raumgefühl und schaffen Sie eine entspannende Wohnumgebung. Außerdem ist der Schirm der Deckenleuchte aus gefrostetem Acryl gefertigt, Ein hochwertigeres Aussehen, gleichmäßige Lichtübertragung und weiches Licht, bietet Ihnen helles Licht und besseren Augenschutz.

💡【Spezielles Nachtlicht + Timer-Modus】-Als Nachtlicht kann die minimale Dimmhelligkeit der Deckenleuchten für Schlafzimmer 10% bei 3000K warmweiß erreichen. Die ruhige und warme Lichtatmosphäre des Nachtlichtmodus lässt Kinder oder ältere Menschen schneller einschlafen. Die Timer-Funktion ermöglicht die automatische Abschaltung der Deckenleuchte nach 60 Sekunden/ 60 Minuten vor dem Schlafengehen. Fernbedienung verwendet die drahtlose 2,4G-Fernbedienungstechnologie, die empfindlicher ist.

💡【Einfach zu Installieren】Die Deckenleuchte sind mit Aufhängeseilen und Schnallen ausgestattet, Hängen Sie das hängende Seil in die Schnalle des Lampenabdeckung, die Lampe kann stabil an der Lampenabdeckung aufgehängt werden. Auch eine einzelne Person kann die Installation leicht durchführen. Intelligente Speicherfunktion, die beim Wiedereinschalten automatisch die letzte Lichteinstellung beibehält. Wir sind bestrebt, Ihnen eine Deckenleuchte zu liefern, die Ihnen Sorgen und Mühe erspart.

💡【Wasserdicht、Staub- und Insektenschutz】Der Lampenhalter ist mit umlaufenden Dichtungen verstärkt, sodass Insekten und Staub nicht in das Innere der Deckenleuchte gelangen können, was Ihnen die Reinigung erspart. Die LED Deckenleuchte hat einen Spritzwasserschutzindex von IP54. Sie können die LED-Deckenleuchte an den meisten Orten wie Schlafzimmer, Wohnzimmer, Flur, Kinderzimmer, Garage, Bad, Küche usw. installieren.

💖【Zuverlässiger und überlegener Service】♚(WORRY-FREE)♚ Wenn Sie defekte oder beschädigte Led Deckenleuchte erhalten, Bitte kontaktieren Sie uns, Wir werden unser Bestes geben, um Ihnen zufriedenstellende Dienstleistungen zu bieten.",Aisutha,Fanyin Europe,,,30 x 30 x 2.8 cm,850 g,,2022-04-25,0.0,0.0,False
7,B09PML8F5V,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/617rpSY13rL._AC_UL320_.jpg,"Philonext Deckenleuchte Flach Led Deckenlampe 48W, 6500K 5000LM Led Deckenbeleuchtung Deckenlampe Eckig Panel, Kaltweiß Led Lampen, Deckenlampe für Wohnzimmer Schlafzimmer Küche Balkon Büro Flur","Beleuchtung: 781
Deckenleuchten: 61",EUR,34.99,4.4,469.0,,,"【Superhell & Energiesparend Deckenlampe】Die maximale Leistung unserer LED-Energiespar-Deckenleuchte beträgt nur 48 W, was einer normalen 240-W-Glühlampe entspricht, was mehr als 90 % der Stromrechnung spart, sehr umweltfreundlich. Lichtleistung von 5000 Lumen für ausreichend Licht in jedem Raum mit einem Service Lebensdauer von bis zu 20000 Stunden,Energie sparen, Geld sparen!

【Einfache Installation】 LED Deckenleuchte kein erdungskabel erforderlich. Einfach auf die Montageschiene schieben und sofort funktionsfähig. Es wird auch sehr bequem für eine Person die deckenlampe led mit mitgelieferten zubehörteilen unabhängig zu installieren,Die deckenleuchte ist dünn und schön, sie sieht nicht ungeschickt aus oder beeinträchtigt die dekoration , geeignet für eine vielzahl von dekorationsstilen.【Warme Tipps】nur mit normalen ON/OFF-Wandschaltern.

【Augenschutz und hoher Farbwiedergabe】Diese Led Deckenleuchte hat eine hohe Lichtdurchlässigkeit und einen hohen Farbwiedergabeindex (>70), wodurch sichergestellt wird, dass die Faser gleichmäßig in allen Ecken verteilt werden kann, kein Rauschen, kein Flimmern, keine Blendung, Schutz Ihrer Die Augen sind vor grellem und grellem Licht geschützt, mit einer hervorragenden Farbwiedergabe von 6500 K in Kaltweiß für lebendigeres und natürlicheres Licht.

【Haltbarer & Sicherere Schale-Deckenleuchte】Aus fortschrittlichem Luft- und Raumfahrtkunststoff und ABS-Isoliermaterial, langlebiger, mit besserer Lichtdurchlässigkeit und Intensität als andere Deckenleuchten, 6500K perfektes natürliches weißes licht der lichteffekt ist gleichmäßig und hell, Es ist stoß, vibrationsfest und isoliertund, verhindert jegliches Risiko von Stromschlag,elektrischen Leckagen oder sogar potenziellen Katastrophen durch Kurzschluss.

【BREITE Verwendung】 - Die LED Deckenlampe durch ihre hohe Qualität und schlichte Eleganz und kann in Außen- und Innenbereichen, einschließlich Badezimmer, Küche, Balkon, Flur, Waschküche, Schlafzimmer, Esszimmer, Wohnzimmer, Kinder, weit verbreitet sein Zimmer, Korridor, Geschäfte, Büros usw. wo kaltweiß Licht eine helle Lichtatmosphäre erzeugt.",Philonext,JLH EU,,,30l x 30b x 3.8h cm,760 g,,2022-01-04,0.0,0.0,False
8,B08DXQ5FL8,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61MieHxmojL._AC_UL320_.jpg,"BRILONER Leuchten - LED Deckenleuchte, Deckenlampe dimmbar, inkl. Fernbedienung, Farbtemperatursteuerung, Nachtlichtfunktion, Timer, 55 Watt, 5.500 Lumen, Chrom-Alu, 1040x420x100mm","Beleuchtung: 1500
Deckenleuchten: 117",EUR,99.99,4.5,1319.0,,,"Moderne LED Deckenlampe mit drei rechteckigen LED-Modulen in chrom-alu, gefertigt aus Metall-Kunststoff - Metall in gebürsteter Alu-Optik, inkl. chromfarbener Metallauflage auf Baldachin

Dank zwei drehbarer LED Module können Sie das Licht individuell steuern - durch ihr edles Design, ist die LED Leuchte vielseitig einsetzbar, z.B. als Wohnzimmerlampe, Schlafzimmerlampe oder Esszimmerleuchte - zudem auch als Wandlampe verwendbar

Mit Hilfe der Dimmfunktion und der Farbwechselfunktion (2.700 Kelvin bis 5.000 Kelvin; wamrmweiß bis neutralweiß) können Sie die Lichtverhältnisse optimal auf Ihre Bedürfnisse anpassen und individuell steuern - zudem verfügt die Leuchte über eine Nachtlichtfunktion und einen Timer (die Deckenlampe wird nach ca. 1 Minute automatisch ausgeschaltet) - alle Funktionen können Sie mit der beiliegenden Fernbedienung bequem vom Sofa aus steuern

Bei energiesparenden 55 Watt, einer Lichtleistung von insgesamt 5.500 Lumen (2x 2.200 Lumen & 1x 1.100Lumen) und einer Farbtemperatur von 3.000 Kelvin (warmweiße Lichtfarbe) sorgt die moderne Lampe für eine angenehme Wohlfühlatmosphäre - die hohe durchschnittliche Lebensdauer liegt bei ca. 25.000 Stunden

Produktabmessungen: 1040x420x100mm",BRILONER,C & S Online,Besuche den BRILONER,,104 x 42 x 10 cm,1.48 kilogramm,,2020-07-30,0.0,1.0,False
9,B0BDQ56KR3,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/611nirQP1FL._AC_UL320_.jpg,"YIKANWEN Led Sternenhimmel Deckenlampe, 24W 3200LM Led Flach Deckenleuchte Dimmbar RGB Hintergrundbeleuchtung mit Fernbedienung…","Beleuchtung: 407
Deckenleuchten: 21",EUR,29.99,4.6,113.0,,,"【2,5 cm ultradünnes Desig mit Sternenmuster】Mit dem 2,5 cm ultradünnen Design und einem einfachen Modellierdesigneignet sich，diese LED Deckenleuchte Flach für jeden Raum in Ihrem Haus, Flur, Badezimmer, Eingangsbereich, Treppe oder sogar Veranda.

【Helligkeit dimmbar + 3 Farbmodi】 - Das Hauptlicht dieser LED Deckenleuchte dimmbar hat 3 Arten von Farbtemperaturen (warmweiß 3000K, naturweiß 4000K, tageslichtweiß 6000K), der Helligkeitsbereich kann auch zwischen 10% -100% eingestellt werden die Fernbedienung.

【13 RGB-Farben 】Es gibt 13 RGB-Farben zur Auswahl. Das Frontlicht und das Rücklicht können separat oder gleichzeitig beleuchtet werden, mehr Auswahlmöglichkeiten für verschiedene Szenarien, perfekt für Party, Filmnacht, Spielzimmer, Geburtstag, Muttertag, Kindertag usw. Hinweis: Die Helligkeit der RGB-Farbe kann nicht eingestellt werden.

【Spezielles Nachtlicht + Timer-Modus】 - Als Nachtlicht kann die minimale Dimmhelligkeit des LED-Lichts 10 % bei 3000 K warmweiß erreichen. Kinder oder ältere Menschen fühlen sich nachts aufgrund der ruhigen, gemütlichen Lichtquelle sicherer. Die Timer-Funktion ermöglicht die automatische Abschaltung der dimmbaren Deckenleuchte nach 60 Sekunden vor dem Schlafengehen.

【Speicherfunktion】: die Fernbedienung kann die letzte Einstellung automatisch speichern, ohne sie jedes Mal neu einstellen zu müssen. Bei Verwendung des Netzteils oder Wandschalters lassen Sie das Licht bitte mindestens 30 Sekunden lang an, damit die Speicherfunktion wirksam wird.",YIKANWEN,International Global,,,34.6 x 31.9 x 3.2 cm,910 gramm,,2022-09-09,0.0,0.0,False
10,B0811QV37G,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/51TXmRkJj-L._AC_UL320_.jpg,"B.K.Licht - Deckenleuchte LED, Deckenlampe LED, Lampe Wohnzimmer, Lampe Schlafzimmer, Wandlampe Flur, Eckig & Flach","Beleuchtung: 10199
Deckenbeleuchtung: 1404",EUR,38.99,4.7,839.0,,,"LEUCHTMITTEL - Die LED Deckenleuchte besitzt ein LED Leuchtmittel mit 2.400 Lumen und 4.000 Kelvin. Die weiße Lampe hat ein neutralweißes Licht und besticht mit einer hellen blendfreien Ausleuchtung

QUADRATISCH & PRAKTISCH - Die LED Lampe ist 29x29cm groß und passt nicht nur an jede Decke, sondern auch an jede Wand. Mit 2,8cm Höhe ist sie sehr flach und nimmt auch als Wandlampe nicht zu viel Platz weg

DECKENBELEUCHTUNG - Mit ihrem IP20 Schutz eignen sich die LED Lampen für alle Innenräume, wie den Flur, Keller, Schlafzimmer, Wohnzimmer, Küche, Kinderzimmer, Treppenhaus, Büro und Arbeitszimmer

LANGLEBIG - Die Wohnzimmerlampe überzeugt mit einer Lebensdauer von ca. 25.000 Stunden. Durch eine transparente Rückseite gibt die Lampe schönes, indirektes Licht an die Decke oder Wand ab.

NUR DER ANFANG - Die LED Deckenleuchte flach / LED Wandleuchte flach ist nur ein kleiner Teil unseres Sortiments. In unserem Portfolio sind noch viele weitere Lampen und Leuchtmittel

Bei diesem Produkt handelt es sich um ein umgebendes Produkt. Umgebende Produkte sind Leuchten, die zur separaten Überprüfung der enthaltenen Lichtquelle(n) zerlegt werden können.",B.K.Licht,B.K.Licht,Besuche den B.K.Licht,,29.3l x 29.3b x 2.8h cm,810 g,,2019-11-03,0.0,0.0,True
